['-0.0000520622', '-0.0000192643', '0.3073238706', '0.9999999811', '-0.0001267419', '0.0001476147', '0.0000000719', '-0.0010795159', '0.0244449763', '-0.0567544417', '0.0017296087', '0.0244450237', '-0.0567545404', '-0.0007834898', '0.0244449105', '-0.0567560284', '0.0014337988', '0.0244449583', '-0.0567561277']
['0.0024150830', '-0.0005037970', '0.4973823137', '0.9999363161', '-0.0004348359', '-0.0112771737', '0.0000032160', '-0.1632371318', '0.8353459875', '-1.5077007910', '0.1625166233', '0.8353369472', '-1.5076589848', '-0.1377509529', '1.0824071998', '-1.4737068007', '0.1369528528', '1.0824016198', '-1.4736513684']
['0.0020105122', '-0.0005147890', '0.5009813648', '0.9999539236', '-0.0004354409', '-0.0095896360', '0.0000024909', '-0.1615289301', '0.8286521008', '-1.4978312995', '0.1607829677', '0.8286287018', '-1.4977732165', '-0.1357815688', '1.0743432037', '-1.4651262045', '0.1349493584', '1.0743165489', '-1.4650599868']
['0.0015986370', '-0.0005254805', '0.5043315110', '0.9999689172', '-0.0004359839', '-0.0078723971', '0.0000017684', '-0.1590823507', '0.8227204540', '-1.4902097642', '0.1583222011', '0.8226841248', '-1.4901390905', '-0.1334282402', '1.0665472624', '-1.4592587209', '0.1325764252', '1.0665005844', '-1.4591848057']
['0.0011814627', '-0.0005358706', '0.5074305871', '0.9999810711', '-0.0004364769', '-0.0061373333', '0.0000010508', '-0.1559942024', '0.8175633968', '-1.4847108652', '0.1552304153', '0.8175157465', '-1.4846312648', '-0.1307812622', '1.0590886852', '-1.4558941394', '0.1299232971', '1.0590234267', '-1.4558156173']
['0.0007617820', '-0.0005459552', '0.5102785478', '0.9999902529', '-0.0004369297', '-0.0043935301', '0.0000003421', '-0.1523612697', '0.8131635414', '-1.4811522514', '0.1516036103', '0.8131062925', '-1.4810672497', '-0.1279497176', '1.0518938774', '-1.4543111259', '0.1270979629', '1.0518116694', '-1.4542304770']
['0.0003416040', '-0.0005557299', '0.5128744879', '0.9999963892', '-0.0004373435', '-0.0026514806', '-0.0000003553', '-0.1482826455', '0.8094843413', '-1.4793128012', '0.1475400187', '0.8094192741', '-1.4792256813', '-0.1250190080', '1.0449712856', '-1.4541133180', '0.1241845688', '1.0448741608', '-1.4540334080']
['-0.0000772686', '-0.0005651894', '0.5152188611', '0.9999994704', '-0.0004377206', '-0.0009314395', '-0.0000010347', '-0.1438761768', '0.8063675166', '-1.4784579835', '0.1431567062', '0.8062960295', '-1.4783700665', '-0.1220629520', '1.0383916567', '-1.4551161900', '0.1212556826', '1.0382818322', '-1.4550395972']
['-0.0004934380', '-0.0005743266', '0.5173108515', '0.9999996186', '-0.0004380590', '0.0007555193', '-0.0000016924', '-0.1392400057', '0.8037482490', '-1.4782662295', '0.1385507328', '0.8036722143', '-1.4781804441', '-0.1191447226', '1.0321970066', '-1.4571223967', '0.1183731955', '1.0320768132', '-1.4570513543']
['-0.0009058098', '-0.0005831356', '0.5191491640', '0.9999970156', '-0.0004383545', '0.0024034709', '-0.0000023290', '-0.1344611249', '0.8016027373', '-1.4786187071', '0.1338081236', '0.8015239521', '-1.4785375605', '-0.1163187211', '1.0264111644', '-1.4599307643', '0.1155902238', '1.0262829876', '-1.4598671202']
['-0.0013134667', '-0.0005916098', '0.5207327604', '0.9999918730', '-0.0004386056', '0.0040076981', '-0.0000029449', '-0.1296227767', '0.7999009753', '-1.4793972869', '0.1290111520', '0.7998211303', '-1.4793228415', '-0.1136324737', '1.0210492071', '-1.4633436788', '0.1129530326', '1.0209154359', '-1.4632888773']
['-0.0017156633', '-0.0005997415', '0.5220608277', '0.9999844211', '-0.0004388121', '0.0055646193', '-0.0000035404', '-0.1248034369', '0.7986088229', '-1.4804889125', '0.1242373319', '0.7985294779', '-1.4804227789', '-0.1111263752', '1.0161196884', '-1.4671732516', '0.1105007881', '1.0159826703', '-1.4671283307']
['-0.0021118182', '-0.0006075226', '0.5231327501', '0.9999748988', '-0.0004389750', '0.0070717100', '-0.0000041159', '-0.1200759262', '0.7976897271', '-1.4817889757', '0.1195585375', '0.7976122935', '-1.4817323208', '-0.1088335740', '1.0116263456', '-1.4712460540', '0.1082654512', '1.0114883487', '-1.4712116566']
['-0.0025015048', '-0.0006149444', '0.5239480859', '0.9999635445', '-0.0004390958', '0.0085274186', '-0.0000046720', '-0.1155066550', '0.7971061137', '-1.4832037544', '0.1150402583', '0.7970318424', '-1.4831573221', '-0.1067799858', '1.0075693418', '-1.4754065157', '0.1062718004', '1.0074325221', '-1.4753829123']
['-0.0028845284', '-0.0006220002', '0.5245066063', '0.9999505858', '-0.0004391748', '0.0099314177', '-0.0000052043', '-0.1111558465', '0.7968123496', '-1.4846488111', '0.1107420559', '0.7967398372', '-1.4846118402', '-0.1049839442', '1.0039452597', '-1.4795190469', '0.1045371032', '1.0038116237', '-1.4795061655']
['-0.0032617256', '-0.0006286793', '0.5248088244', '0.9999361961', '-0.0004392178', '0.0112876351', '-0.0000057216', '-0.1070859875', '0.7966665072', '-1.4860148059', '0.1067254860', '0.7965950313', '-1.4859867606', '-0.1034520936', '1.0007398028', '-1.4834685366', '0.1030669882', '1.0006112094', '-1.4834660053']
['-0.0036334335', '-0.0006349721', '0.5248558154', '0.9999205415', '-0.0004392306', '0.0125983261', '-0.0000062269', '-0.1033416828', '0.7965958742', '-1.4872399466', '0.1030343075', '0.7965250634', '-1.4872203454', '-0.1021862440', '0.9979424515', '-1.4871612196', '0.1018623366', '0.9978205862', '-1.4871684087']
['-0.0039997788', '-0.0006408699', '0.5246476584', '0.9999037775', '-0.0004392143', '0.0138651666', '-0.0000067206', '-0.0999581028', '0.7965634381', '-1.4882924818', '0.0997029026', '0.7964931022', '-1.4882808182', '-0.1011864526', '0.9955458761', '-1.4905260929', '0.1009223413', '0.9954322328', '-1.4905421594']
['-0.0043608336', '-0.0006463646', '0.5241844342', '0.9998860465', '-0.0004391706', '0.0150897658', '-0.0000072026', '-0.0969606156', '0.7965503779', '-1.4891591633', '0.0967559329', '0.7964804197', '-1.4891548759', '-0.1004482016', '0.9935425259', '-1.4935120498', '0.1002417116', '0.9934383982', '-1.4935359838']
['-0.0047166852', '-0.0006514489', '0.5234662770', '0.9998674750', '-0.0004391021', '0.0162738933', '-0.0000076729', '-0.0943660059', '0.7965471802', '-1.4898391350', '0.0942095600', '0.7964775506', '-1.4898416021', '-0.0999624906', '0.9919235854', '-1.4960861687', '0.0998107671', '0.9918300609', '-1.4961168393']
['-0.0050674436', '-0.0006560188', '0.5224935595', '0.9998481611', '-0.0004388392', '0.0174201607', '-0.0000082264', '-0.0921837649', '0.7965490156', '-1.4903406887', '0.0920718930', '0.7964797006', '-1.4903491545', '-0.0997151121', '0.9906770966', '-1.4982315296', '0.0995918267', '0.9905982083', '-1.4982706748']
['-0.0054131231', '-0.0006601213', '0.5212677655', '0.9998281118', '-0.0004385716', '0.0185352192', '-0.0000087729', '-0.0904156681', '0.7965531226', '-1.4906812352', '0.0903450577', '0.7964841083', '-1.4906950202', '-0.0995907958', '0.9897933844', '-1.4999554845', '0.0994823278', '0.9897306919', '-1.5000024856']
['-0.0057538920', '-0.0006637818', '0.5197897475', '0.9998073462', '-0.0004383488', '0.0196234106', '-0.0000092854', '-0.0890570560', '0.7965584978', '-1.4908841859', '0.0890243705', '0.7964897307', '-1.4909007629', '-0.0995299590', '0.9892576522', '-1.5012696754', '0.0994292436', '0.9892113528', '-1.5013227414']
